gene,expected_tolerance_direction,dataset,contrast,data_source,mean_difference,observed_direction,p_value,fdr,consistent_with_tolerance
SOCS3,up,GSE360,DC_Brugia50_vs_Baseline,selected_markers,-6.450000000000003,negative,0.6666666666666666,1.0,NO
SOCS3,up,GSE360,DC_Brugia5_vs_Baseline,selected_markers,-0.1999999999999957,negative,1.0,1.0,NO
SOCS3,up,GSE360,DC_BrugiaCombined_vs_Baseline,selected_markers,-3.325000000000003,negative,0.8,0.9230769230769232,NO
SOCS3,up,GSE360,Macrophage_Brugia50_vs_Baseline,selected_markers,23.025,positive,0.3333333333333333,0.4166666666666666,YES
SOCS3,up,GSE360,Macrophage_Brugia5_vs_Baseline,selected_markers,2.1000000000000014,positive,0.3333333333333333,0.3333333333333333,YES
SOCS3,up,GSE360,Macrophage_BrugiaCombined_vs_Baseline,selected_markers,12.5625,positive,0.1333333333333333,0.25,YES
IL10,up,GSE360,DC_Brugia50_vs_Baseline,selected_markers,-8.25,negative,1.0,1.0,NO
IL10,up,GSE360,DC_Brugia5_vs_Baseline,selected_markers,62.7,positive,0.3333333333333333,0.8333333333333333,YES
IL10,up,GSE360,DC_BrugiaCombined_vs_Baseline,selected_markers,27.225,positive,0.6,0.9230769230769232,YES
IL10,up,GSE360,Macrophage_Brugia50_vs_Baseline,selected_markers,-53.55,negative,0.3333333333333333,0.4166666666666666,NO
IL10,up,GSE360,Macrophage_Brugia5_vs_Baseline,selected_markers,-15.200000000000005,negative,0.3333333333333333,0.3333333333333333,NO
IL10,up,GSE360,Macrophage_BrugiaCombined_vs_Baseline,selected_markers,-34.37500000000001,negative,0.1333333333333333,0.25,NO
DUSP1,up,GSE360,DC_Brugia50_vs_Baseline,selected_markers,4.950000000000003,positive,1.0,1.0,YES
DUSP1,up,GSE360,DC_Brugia5_vs_Baseline,selected_markers,-12.599999999999994,negative,0.6666666666666666,0.9090909090909092,NO
DUSP1,up,GSE360,DC_BrugiaCombined_vs_Baseline,selected_markers,-3.824999999999996,negative,0.8,0.9230769230769232,NO
DUSP1,up,GSE360,Macrophage_Brugia50_vs_Baseline,selected_markers,192.0,positive,0.3333333333333333,0.4166666666666666,YES
DUSP1,up,GSE360,Macrophage_Brugia5_vs_Baseline,selected_markers,155.5,positive,0.3333333333333333,0.3333333333333333,YES
DUSP1,up,GSE360,Macrophage_BrugiaCombined_vs_Baseline,selected_markers,173.75,positive,0.0666666666666666,0.25,YES
SOCS3,up,GSE250463,Al_CPI_1uM_vs_Control,selected_markers,1.263698844488061,positive,0.03125,0.0596590909090909,YES
SOCS3,up,GSE250463,Al_CPI_0.1uM_vs_Control,selected_markers,0.158027164903308,positive,0.4375,0.765625,YES
SOCS3,up,GSE250463,LPS_Al_CPI_1uM_vs_LPS,selected_markers,-0.2169826694934737,negative,0.3125,0.3645833333333333,NO
SOCS3,up,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,selected_markers,-0.0903338116988798,negative,0.09375,0.24609375,NO
SOCS3,up,GSE250463,LPS_ABF_vs_LPS,selected_markers,-1.6548632665364007,negative,0.03125,0.0504807692307692,NO
CD274,up,GSE250463,Al_CPI_1uM_vs_Control,selected_markers,0.2414068590296985,positive,0.03125,0.0596590909090909,YES
CD274,up,GSE250463,Al_CPI_0.1uM_vs_Control,selected_markers,-0.012525164269542,negative,0.84375,0.8859375,NO
CD274,up,GSE250463,LPS_Al_CPI_1uM_vs_LPS,selected_markers,-0.2235468736299903,negative,0.0625,0.1009615384615384,NO
CD274,up,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,selected_markers,-0.0034727476447429,negative,0.84375,0.9325657894736842,NO
CD274,up,GSE250463,LPS_ABF_vs_LPS,selected_markers,-0.3496311224047073,negative,0.03125,0.0504807692307692,NO
IL10,up,GSE250463,Al_CPI_1uM_vs_Control,selected_markers,-0.6288763604787315,negative,0.0625,0.1009615384615384,NO
IL10,up,GSE250463,Al_CPI_0.1uM_vs_Control,selected_markers,-0.0971690723939131,negative,0.3125,0.5965909090909091,NO
IL10,up,GSE250463,LPS_Al_CPI_1uM_vs_LPS,selected_markers,-1.1900925823195083,negative,0.03125,0.0596590909090909,NO
IL10,up,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,selected_markers,-0.1742331429136943,negative,0.0625,0.24609375,NO
IL10,up,GSE250463,LPS_ABF_vs_LPS,selected_markers,-2.0951120761827995,negative,0.03125,0.0504807692307692,NO
DUSP1,up,GSE250463,Al_CPI_1uM_vs_Control,selected_markers,0.3133679438148666,positive,0.09375,0.13125,YES
DUSP1,up,GSE250463,Al_CPI_0.1uM_vs_Control,selected_markers,0.0659968198463119,positive,1.0,1.0,YES
DUSP1,up,GSE250463,LPS_Al_CPI_1uM_vs_LPS,selected_markers,-0.1960206601079317,negative,0.3125,0.3645833333333333,NO
DUSP1,up,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,selected_markers,-0.0382611047566321,negative,0.15625,0.3645833333333333,NO
DUSP1,up,GSE250463,LPS_ABF_vs_LPS,selected_markers,-1.3960685095465166,negative,0.03125,0.0504807692307692,NO
IRAK1,down,GSE42694,LC_L3_vs_LC_Control,gene_level_deltas,-12.728822666666666,negative,,,YES
IRAK1,down,GSE250463,Al_CPI_1uM_vs_Control,gene_level_deltas,0.013597130160762,positive,,,NO
IRAK1,down,GSE250463,Al_CPI_0.1uM_vs_Control,gene_level_deltas,0.0152433960130222,positive,,,NO
IRAK1,down,GSE250463,LPS_Al_CPI_1uM_vs_LPS,gene_level_deltas,0.0300099823056436,positive,,,NO
IRAK1,down,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,gene_level_deltas,-0.0916724001162014,negative,,,YES
IRAK1,down,GSE250463,LPS_ABF_vs_LPS,gene_level_deltas,-0.000935369446914,negative,,,YES
